module_id,domain,module,classification
industrial_materials,Materials,Steel/cement/aluminium/circularity,LEGACY_MECHANISTIC
data_center_heat_reuse,Energy/AI,Distributed AI data-center waste-heat reuse,ENGINEERING_SCENARIO
Los_Jardines_Cella,Implementation,Eight-town distributed restoration/AI demonstration archetype,ENGINEERING_SCENARIO
Carbonite_stablecoin,Finance,Carbonite price-stable settlement cryptocurrency,POLICY_SCENARIO
Proof_of_Rent,Finance/Compute,Proof of Rent processor-rental mechanism,POLICY_SCENARIO
geotagged_tree_reserve,Finance/Forestry,Geotagged tree/timber natural-capital reserve,POLICY_SCENARIO
restoration_charity,Finance/Human,Global restoration charity funded by settlement fees,POLICY_SCENARIO
transaction_fee_finance,Finance,Settlement/cross-border fee funding,POLICY_SCENARIO
country_equalizer,Finance/Governance,Equalizer for differing domestic restoration potential,POLICY_SCENARIO
bank_transition,Finance,Bank/data-center/project-finance transition,POLICY_SCENARIO
liquidity_stress,Finance,Monetary liquidity/reserve stress,LEGACY_MECHANISTIC
sanctions_governance,Governance,Treaty sanctions/governance modes,POLICY_SCENARIO
US_nonparticipation_stress,Governance/Finance,US non-participation adoption stress case,POLICY_SCENARIO
protected_food_health_payments,Finance/Human,Basic food/health payments protected fee-free,POLICY_SCENARIO
workforce_transition,Human/Economy,Financial/industrial workforce transition,POLICY_SCENARIO
disaster_resilience,Human/Risk,Drought/shock resilience,POLICY_SCENARIO
Africa_vulnerability_priority,Regional,Africa-focused vulnerability/resource-access reporting,LITERATURE_SCREEN
population_scenarios,Human/Demography,Population planning and carrying-capacity screens,LITERATURE_SCREEN
MRV_audit_chain,Governance/MRV,"Measurement, reporting, verification and chain of custody",POLICY_SCENARIO
no_carbon_credit_finance,Finance,Financing architecture independent of carbon credits,POLICY_SCENARIO
